mep_id,display_name,first_name,last_name,country,country_code,national_party,eu_group_short,eu_group_full,eu_group_code,vote_position_raw,vote_label_en,vote_label_technical_en,vote_date,email,photo_url_ep,mep_profile_url_ep,source_url
256810,Mika AALTOLA,Mika,AALTOLA,Finland,FIN,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,mika.aaltola@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256810.jpg,https://www.europarl.europa.eu/meps/en/256810,https://howtheyvote.eu/votes/195775
257043,Maravillas ABADÍA JOVER,Maravillas,ABADÍA JOVER,Spain,ESP,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,maravillas.abadiajover@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257043.jpg,https://www.europarl.europa.eu/meps/en/257043,https://howtheyvote.eu/votes/195775
197490,Magdalena ADAMOWICZ,Magdalena,ADAMOWICZ,Poland,POL,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,magdalena.adamowicz@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197490.jpg,https://www.europarl.europa.eu/meps/en/197490,https://howtheyvote.eu/votes/195775
256820,Georgios AFTIAS,Georgios,AFTIAS,Greece,GRC,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,georgios.aftias@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256820.jpg,https://www.europarl.europa.eu/meps/en/256820,https://howtheyvote.eu/votes/195775
256987,Oihane AGIRREGOITIA MARTÍNEZ,Oihane,AGIRREGOITIA MARTÍNEZ,Spain,ESP,,Renew,Renew Europe,RENEW,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,oihane.agirregoitiamartinez@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256987.jpg,https://www.europarl.europa.eu/meps/en/256987,https://howtheyvote.eu/votes/195775
113523,Peter AGIUS,Peter,AGIUS,Malta,MLT,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,peter.agius@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/113523.jpg,https://www.europarl.europa.eu/meps/en/113523,https://howtheyvote.eu/votes/195775
197403,Alex AGIUS SALIBA,Alex,AGIUS SALIBA,Malta,MLT,,S&D,Progressive Alliance of Socialists and Democrats,SD,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,alex.agiussaliba@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197403.jpg,https://www.europarl.europa.eu/meps/en/197403,https://howtheyvote.eu/votes/195775
197400,Abir AL-SAHLANI,Abir,AL-SAHLANI,Sweden,SWE,,Renew,Renew Europe,RENEW,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,abir.alsahlani@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197400.jpg,https://www.europarl.europa.eu/meps/en/197400,https://howtheyvote.eu/votes/195775
256956,Galato ALEXANDRAKI,Galato,ALEXANDRAKI,Greece,GRC,,ECR,European Conservatives and Reformists,ECR,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,galato.alexandraki@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256956.jpg,https://www.europarl.europa.eu/meps/en/256956,https://howtheyvote.eu/votes/195775
256869,Grégory ALLIONE,Grégory,ALLIONE,France,FRA,,Renew,Renew Europe,RENEW,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,gregory.allione@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256869.jpg,https://www.europarl.europa.eu/meps/en/256869,https://howtheyvote.eu/votes/195775
256858,Nikolaos ANADIOTIS,Nikolaos,ANADIOTIS,Greece,GRC,,Non-attached,Non-attached Members,NI,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,nikolaos.anadiotis@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256858.jpg,https://www.europarl.europa.eu/meps/en/256858,https://howtheyvote.eu/votes/195775
197475,Christine ANDERSON,Christine,ANDERSON,Germany,DEU,,ESN,Europe of Sovereign Nations,ESN,DID_NOT_VOTE,Did not vote,Did not vote,2026-07-09,christine.anderson@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197475.jpg,https://www.europarl.europa.eu/meps/en/197475,https://howtheyvote.eu/votes/195775
256805,Li ANDERSSON,Li,ANDERSSON,Finland,FIN,,The Left,The Left in the European Parliament,GUE_NGL,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,li.andersson@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256805.jpg,https://www.europarl.europa.eu/meps/en/256805,https://howtheyvote.eu/votes/195775
197448,Rasmus ANDRESEN,Rasmus,ANDRESEN,Germany,DEU,,Greens/EFA,Greens/European Free Alliance,GREEN_EFA,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,rasmus.andresen@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197448.jpg,https://www.europarl.europa.eu/meps/en/197448,https://howtheyvote.eu/votes/195775
204332,Barry ANDREWS,Barry,ANDREWS,Ireland,IRL,,Renew,Renew Europe,RENEW,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,barry.andrews@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/204332.jpg,https://www.europarl.europa.eu/meps/en/204332,https://howtheyvote.eu/votes/195775
130881,Mieke ANDRIESE,Mieke,ANDRIESE,Netherlands,NLD,,PfE,Patriots for Europe,PFE,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,mieke.andriese@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/130881.jpg,https://www.europarl.europa.eu/meps/en/130881,https://howtheyvote.eu/votes/195775
119652,Vytenis Povilas ANDRIUKAITIS,Vytenis Povilas,ANDRIUKAITIS,Lithuania,LTU,,S&D,Progressive Alliance of Socialists and Democrats,SD,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,vytenis.andriukaitis@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/119652.jpg,https://www.europarl.europa.eu/meps/en/119652,https://howtheyvote.eu/votes/195775
197691,Mathilde ANDROUËT,Mathilde,ANDROUËT,France,FRA,,PfE,Patriots for Europe,PFE,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,mathilde.androuet@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197691.jpg,https://www.europarl.europa.eu/meps/en/197691,https://howtheyvote.eu/votes/195775
202073,Marc ANGEL,Marc,ANGEL,Luxembourg,LUX,,S&D,Progressive Alliance of Socialists and Democrats,SD,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,marc.angel@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/202073.jpg,https://www.europarl.europa.eu/meps/en/202073,https://howtheyvote.eu/votes/195775
124973,Gerolf ANNEMANS,Gerolf,ANNEMANS,Belgium,BEL,,PfE,Patriots for Europe,PFE,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,gerolf.annemans@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/124973.jpg,https://www.europarl.europa.eu/meps/en/124973,https://howtheyvote.eu/votes/195775
257123,Lucia ANNUNZIATA,Lucia,ANNUNZIATA,Italy,ITA,,S&D,Progressive Alliance of Socialists and Democrats,SD,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,lucia.annunziata@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257123.jpg,https://www.europarl.europa.eu/meps/en/257123,https://howtheyvote.eu/votes/195775
257138,Giuseppe ANTOCI,Giuseppe,ANTOCI,Italy,ITA,,The Left,The Left in the European Parliament,GUE_NGL,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,giuseppe.antoci@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257138.jpg,https://www.europarl.europa.eu/meps/en/257138,https://howtheyvote.eu/votes/195775
96808,Pablo ARIAS ECHEVERRÍA,Pablo,ARIAS ECHEVERRÍA,Spain,ESP,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,pablo.ariasecheverria@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/96808.jpg,https://www.europarl.europa.eu/meps/en/96808,https://howtheyvote.eu/votes/195775
24922,Pascal ARIMONT,Pascal,ARIMONT,Belgium,BEL,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,pascal.arimont@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/24922.jpg,https://www.europarl.europa.eu/meps/en/24922,https://howtheyvote.eu/votes/195775
256829,Sakis ARNAOUTOGLOU,Sakis,ARNAOUTOGLOU,Greece,GRC,,S&D,Progressive Alliance of Socialists and Democrats,SD,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,sakis.arnaoutoglou@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256829.jpg,https://www.europarl.europa.eu/meps/en/256829,https://howtheyvote.eu/votes/195775
256951,Anja ARNDT,Anja,ARNDT,Germany,DEU,,ESN,Europe of Sovereign Nations,ESN,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,anja.arndt@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256951.jpg,https://www.europarl.europa.eu/meps/en/256951,https://howtheyvote.eu/votes/195775
197701,Konstantinos ARVANITIS,Konstantinos,ARVANITIS,Greece,GRC,,The Left,The Left in the European Parliament,GUE_NGL,DID_NOT_VOTE,Did not vote,Did not vote,2026-07-09,konstantinos.arvanitis@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197701.jpg,https://www.europarl.europa.eu/meps/en/197701,https://howtheyvote.eu/votes/195775
197492,Bartosz ARŁUKOWICZ,Bartosz,ARŁUKOWICZ,Poland,POL,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,bartosz.arlukowicz@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197492.jpg,https://www.europarl.europa.eu/meps/en/197492,https://howtheyvote.eu/votes/195775
257015,Jaume ASENS LLODRÀ,Jaume,ASENS LLODRÀ,Spain,ESP,,Greens/EFA,Greens/European Free Alliance,GREEN_EFA,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,jaume.asens@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257015.jpg,https://www.europarl.europa.eu/meps/en/257015,https://howtheyvote.eu/votes/195775
28307,Francisco ASSIS,Francisco,ASSIS,Portugal,PRT,,S&D,Progressive Alliance of Socialists and Democrats,SD,DID_NOT_VOTE,Did not vote,Did not vote,2026-07-09,francisco.assis@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/28307.jpg,https://www.europarl.europa.eu/meps/en/28307,https://howtheyvote.eu/votes/195775
256934,Daniel ATTARD,Daniel,ATTARD,Malta,MLT,,S&D,Progressive Alliance of Socialists and Democrats,SD,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,daniel.attard@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256934.jpg,https://www.europarl.europa.eu/meps/en/256934,https://howtheyvote.eu/votes/195775
197533,Manon AUBRY,Manon,AUBRY,France,FRA,,The Left,The Left in the European Parliament,GUE_NGL,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,manon.aubry@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197533.jpg,https://www.europarl.europa.eu/meps/en/197533,https://howtheyvote.eu/votes/195775
256929,René AUST,René,AUST,Germany,DEU,,ESN,Europe of Sovereign Nations,ESN,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,rene.aust@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256929.jpg,https://www.europarl.europa.eu/meps/en/256929,https://howtheyvote.eu/votes/195775
124766,Petras AUŠTREVIČIUS,Petras,AUŠTREVIČIUS,Lithuania,LTU,,Renew,Renew Europe,RENEW,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,petras.austrevicius@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/124766.jpg,https://www.europarl.europa.eu/meps/en/124766,https://howtheyvote.eu/votes/195775
257117,Adrian-George AXINIA,Adrian-George,AXINIA,Romania,ROU,,ECR,European Conservatives and Reformists,ECR,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,adrian-george.axinia@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257117.jpg,https://www.europarl.europa.eu/meps/en/257117,https://howtheyvote.eu/votes/195775
197781,Malik AZMANI,Malik,AZMANI,Netherlands,NLD,,Renew,Renew Europe,RENEW,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,malik.azmani@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197781.jpg,https://www.europarl.europa.eu/meps/en/197781,https://howtheyvote.eu/votes/195775
256936,Thomas BAJADA,Thomas,BAJADA,Malta,MLT,,S&D,Progressive Alliance of Socialists and Democrats,SD,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,thomas.bajada@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256936.jpg,https://www.europarl.europa.eu/meps/en/256936,https://howtheyvote.eu/votes/195775
257003,Jeannette BALJEU,Jeannette,BALJEU,Netherlands,NLD,,Renew,Renew Europe,RENEW,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,jeannettenicole.baljeu@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257003.jpg,https://www.europarl.europa.eu/meps/en/257003,https://howtheyvote.eu/votes/195775
247735,Laura BALLARÍN CEREZA,Laura,BALLARÍN CEREZA,Spain,ESP,,S&D,Progressive Alliance of Socialists and Democrats,SD,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,laura.ballarincereza@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/247735.jpg,https://www.europarl.europa.eu/meps/en/247735,https://howtheyvote.eu/votes/195775
131580,Jordan BARDELLA,Jordan,BARDELLA,France,FRA,,PfE,Patriots for Europe,PFE,DID_NOT_VOTE,Did not vote,Did not vote,2026-07-09,jordan.bardella@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/131580.jpg,https://www.europarl.europa.eu/meps/en/131580,https://howtheyvote.eu/votes/195775
197433,Katarina BARLEY,Katarina,BARLEY,Germany,DEU,,S&D,Progressive Alliance of Socialists and Democrats,SD,DID_NOT_VOTE,Did not vote,Did not vote,2026-07-09,katarina.barley@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197433.jpg,https://www.europarl.europa.eu/meps/en/197433,https://howtheyvote.eu/votes/195775
257110,Dan BARNA,Dan,BARNA,Romania,ROU,,Renew,Renew Europe,RENEW,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,dan.barna@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257110.jpg,https://www.europarl.europa.eu/meps/en/257110,https://howtheyvote.eu/votes/195775
197684,Pernando BARRENA ARZA,Pernando,BARRENA ARZA,Spain,ESP,,The Left,The Left in the European Parliament,GUE_NGL,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,pernando.barrena@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/197684.jpg,https://www.europarl.europa.eu/meps/en/197684,https://howtheyvote.eu/votes/195775
257000,Stephen Nikola BARTULICA,Stephen Nikola,BARTULICA,Croatia,HRV,,ECR,European Conservatives and Reformists,ECR,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,stephennikola.bartulica@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/257000.jpg,https://www.europarl.europa.eu/meps/en/257000,https://howtheyvote.eu/votes/195775
256852,Nikola BARTŮŠEK,Nikola,BARTŮŠEK,Czechia,CZE,,ECR,European Conservatives and Reformists,ECR,DID_NOT_VOTE,Did not vote,Did not vote,2026-07-09,nikola.bartusek@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256852.jpg,https://www.europarl.europa.eu/meps/en/256852,https://howtheyvote.eu/votes/195775
256948,Arno BAUSEMER,Arno,BAUSEMER,Germany,DEU,,ESN,Europe of Sovereign Nations,ESN,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,arno.bausemer@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256948.jpg,https://www.europarl.europa.eu/meps/en/256948,https://howtheyvote.eu/votes/195775
261797,Christophe BAY,Christophe,BAY,France,FRA,,PfE,Patriots for Europe,PFE,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,christophe.bay@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/261797.jpg,https://www.europarl.europa.eu/meps/en/261797,https://howtheyvote.eu/votes/195775
124760,Nicolas BAY,Nicolas,BAY,France,FRA,,ECR,European Conservatives and Reformists,ECR,FOR,Said no to action against child sexual abuse,Voted for rejection,2026-07-09,nicolas.bay@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/124760.jpg,https://www.europarl.europa.eu/meps/en/124760,https://howtheyvote.eu/votes/195775
256887,Wouter BEKE,Wouter,BEKE,Belgium,BEL,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,wouter.beke@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256887.jpg,https://www.europarl.europa.eu/meps/en/256887,https://howtheyvote.eu/votes/195775
256947,Fredis BELERIS,Fredis,BELERIS,Greece,GRC,,EPP,European People's Party,EPP,AGAINST,Voted to fight sexual abuse online,Voted against rejection,2026-07-09,fredis.beleris@europarl.europa.eu,https://www.europarl.europa.eu/mepphoto/256947.jpg,https://www.europarl.europa.eu/meps/en/256947,https://howtheyvote.eu/votes/195775
